,sentencess,publishedAts,hasil_sentimens
0,"Water Cannon-Barracuda Disiagakan Usai Ricuh Demo di Gedung KPK Demonstrasi pro revisi UU KPK, Jumat (13/9) berakhir ricuh. Kendaraan taktis berjenis barracuda serta water cannon pun disiagakan hari ini di depan gedung KPK.",14 September 2019 ,Negatif 
1,Eks Pimpinan KPK Jasin Kritik Sikap Jokowi yang Berbalik Lemahkan KPK Mantan Wakil Ketua KPK M Jasin mengkritik rencana revisi UU KPK hingga pimpinan KPK baru yang terpilih saat ini. Dia pun mengkritik sikap Presiden Jokowi.,14 September 2019 ,Negatif 
2,"Tolak Revisi UU KPK, Alissa Wahid: KPK Lemah Negara Dijarah Putri Gusdur, Alissa Wahid mengkritik revisi UU KPK. Dengan adanya revisi UU No 30 tahun 2002 itu dinilai sebagai bentuk penjarahan terhadap negara.",14 September 2019 ,Negatif 
3,"Tolak Revisi UU KPK, Alissa Wahid: KPK Lemah Negara Dijarah Putri Gusdur, Alissa Wahid mengkritik revisi UU KPK. Dengan adanya revisi UU No 30 tahun 2002 itu dinilai sebagai bentuk penjarahan terhadap negara.",14 September 2019 ,Negatif 
4,"Hadiri Pembekalan Caleg Terpilih Golkar, Airlangga Tegaskan Tak Bahas Munas ""Kalau munas ya sesuai dengan schedule. Iya (Desember),"" kata Airlangga.",14 September 2019 ,Positif 
5,"Pengusaha ke Ketua KPK Terpilih: Jangan Bikin Dunia Usaha Khawatir Pengusaha berharap Ketua KPK terpilih, Firli Bahuri, ke depannya nanti tidak membuat dunia usaha khawtir",14 September 2019 ,Netral 
6,"Pimpinan KPK Serahkan Mandat ke Jokowi, Istana Belum Merespons Ketua KPK mengatakan pengelolaan KPK saat ini akan dikembalikan ke Presiden Jokowi. Pihak Istana menyebut belum dapat memberikan respon terkait hal tersebut.",14 September 2019 ,Negatif 
7,"Jika Masih Punya Jiwa Antikorupsi, Jokowi Diminta Temui Pimpinan KPK Ketua KPK Agus Rahardjo menyerahkan tanggung jawab pengelolaan KPK ke Presiden Jokowi. Sikap tersebut dinilai sebagai bentuk kekecewaan terhadap Jokowi.",14 September 2019 ,Negatif 
8,Di sebalik kontroversi Indonesia pilih pegawai polis ketuai badan antirasuah Pegawai kanan polis Inspektor Jeneral Firli Bahuri mendapat undi terbanyak dan akan mengetuai Komisi Pemberantasan Korupsi (KPK) sehingga 2013.,14 September 2019 ,Netral 
9,"Daftar Harta Komisioner KPK Terpilih, Ini Lho yang Terkaya Lima komisioner KPK terpilih periode 2019-2023 sudah melaporkan harta kekayaan masing-masing. Lantas, siapa yang terkaya di antara mereka?",14 September 2019 ,Netral 
10,"Iwan Fals Ucap Amin soal Jokowi Tak Akan Biarkan KPK Diperlemah Pembahasan mengenai revisi UU KPK tengah diperbincangkan belakangan ini. Sejumlah artis turut berkomentar mengenai bahasan tersebut, termasuk Iwan Fals.",14 September 2019 ,Negatif 
11,"Jokowi Didesak Persatuan Guru Besar Tolak Revisi UU KPK, Ini Kata Istana Pergubi mendesak Presiden Jokowi untuk menolak revisi UU KPK. Istana mengatakan Jokowi sudah setuju membahas revisi tersebut dan tidak akan menarik lagi.",14 September 2019 ,Netral 
12,"Tanpa Pimpinan KPK, Tugas-tugas Antikorupsi Ini Tak Bisa Dieksekusi Tiga Pimpinan KPK mengembalikan mandat ke Presiden Joko Widodo (Jokowi). Dalam kondisi tanpa pimpinan, maka ada tugas-tugas di KPK yang tak bisa dieksekusi.",14 September 2019 ,Negatif 
13,Saat Simbol Protes WP KPK Dilucuti Penutupan logo KPK mendapat reaksi beragam dari masyarakat. Ada pihak-pihak yang melakukan protes hingga melucuti kain hitam yang menutupi logo KPK.,14 September 2019 ,Negatif 
14,"Jalan Berliku KPK untuk Menyadap Bila revisi itu gol di DPR, KPK harus menempuh jalan berliku untuk menyadap pembicaraan orang, walau itu dilakukan demi memberantas korupsi. Jokowi setuju.",14 September 2019 ,Netral 
15,"Pukat UGM: Kalau Janji Kuatkan KPK, Jokowi Bisa Saja Tolak Revisi UU Pimpinan KPK menyerahkan tanggung jawab pengelolaan KPK kepada Presiden Jokowi. Tindakan ini dinilai sebagai bentuk kekecewaan karena Jokowi tidak responsif.",14 September 2019 ,Negatif 
16,"Capim Kontroversial Tak Dianulir, Revisi UU KPK Terus Bergulir Lepas tengah malam salah satu ruang rapat di kompleks parlemen masih riuh. Rupanya Komisi III DPR tengah menentukan 5 pimpinan KPK baru yang akan berlabuh.",13 September 2019 ,Negatif 
17,"Terkait Demo Ricuh di KPK, Tak Ada Massa yang Diamankan Polisi Demo di KPK berujung ricuh. Massa sempat melempari gedung KPK memakai batu dan kayu. Mereka juga membakar karangan bunga. Namun tak ada yang ditangkap.",13 September 2019 ,Negatif 
18,"Tanggapi Pidato Jokowi, ICW: KPK Akan Berjalan Seperti Siput ICW menanggapi pidato Presiden Jokowi soal revisi Undang-Undang KPK. ICW menilai tidak ada penguatan KPK dalam pernyataan Jokowi itu.",13 September 2019 ,Negatif 
19,Mengapa Jokowi Tak Pernah Ajak Bicara KPK soal Revisi UU? Ketua KPK Agus Rahardjo prihatin karena pihaknya tidak pernah diajak bicara soal revisi UU KPK. Mengapa Jokowi tak pernah ajak KPK bicara revisi UU KPK?,13 September 2019 ,Negatif 
